epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
0: 0 0 0 / 9.985977564102564 9.985977564102564 10.006009615384615 / 0 0 0
1: 21.77283653846154 20.90544871794872 21.143830128205128 / 41.516426282051285 41.7568108974359 40.41466346153846 / 53.22224807739258 53.27781295776367 53.264984130859375
2: 26.762820512820515 26.08173076923077 26.532451923076923 / 48.19711538461539 45.993589743589745 48.31730769230769 / 56.40116500854492 56.44655227661133 56.435203552246094
3: 29.887820512820515 29.715544871794872 29.947916666666668 / 51.852964743589745 52.53405448717949 51.14182692307692 / 59.934547424316406 59.92244338989258 59.92487335205078
4: 32.0693108974359 31.911057692307693 31.832932692307693 / 60.266426282051285 58.303285256410255 59.94591346153846 / 64.04298400878906 64.04818725585938 64.06373596191406
5: 33.71594551282051 33.49759615384615 33.49759615384615 / 60.16626602564103 59.10456730769231 56.02964743589744 / 68.43370056152344 68.49777221679688 68.45039367675781
6: 35.15625 35.09214743589744 35.12620192307692 / 60.49679487179487 63.34134615384615 59.92588141025641 / 73.4690933227539 73.48716735839844 73.5113296508789
7: 36.17588141025641 35.993589743589745 36.20192307692308 / 66.64663461538461 66.796875 66.66666666666667 / 78.61603546142578 78.68177032470703 78.63902282714844
8: 37.69030448717949 37.34375 37.48197115384615 / 67.83854166666667 66.76682692307692 67.72836538461539 / 83.89666748046875 83.96526336669922 83.88945007324219
9: 38.591746794871796 38.61778846153846 38.56570512820513 / 69.08052884615384 69.33092948717949 69.39102564102564 / 88.661865234375 88.76602935791016 88.72997283935547
10: 39.98397435897436 39.83774038461539 40.0380608974359 / 72.17548076923077 72.03525641025641 71.484375 / 89.22676849365234 89.3269271850586 89.27884674072266
11: 41.07572115384615 40.96754807692308 41.00360576923077 / 70.37259615384616 71.98517628205128 72.46594551282051 / 89.73157501220703 89.74759674072266 89.65945434570312
12: 42.189503205128204 42.09134615384615 42.19150641025641 / 71.18389423076923 73.32732371794872 72.31570512820512 / 90.1161880493164 90.22035217285156 90.1522445678711
13: 43.09695512820513 43.03285256410256 43.0869391025641 / 74.12860576923077 73.93830128205128 74.26883012820512 / 90.35657501220703 90.38862609863281 90.37259674072266
14: 43.727964743589745 43.64783653846154 43.671875 / 74.59935897435898 73.61778846153847 73.89823717948718 / 90.54888153076172 90.72917175292969 90.76923370361328
15: 44.78565705128205 44.841746794871796 44.71554487179487 / 75.42067307692308 75.45072115384616 75.38060897435898 / 90.81330108642578 90.849365234375 90.76522827148438
16: 45.520833333333336 45.41466346153846 45.392628205128204 / 75.16025641025641 75.65104166666667 74.11858974358974 / 90.7371826171875 90.74519348144531 90.78125
17: 46.39623397435897 46.11378205128205 46.34014423076923 / 75.18028846153847 74.5292467948718 74.84975961538461 / 90.84535217285156 90.7852554321289 90.8934326171875
18: 46.951121794871796 46.794871794871796 46.77283653846154 / 75.99158653846153 75.59094551282051 75.48076923076923 / 90.98157501220703 90.91747283935547 90.92147827148438
19: 47.578125 47.59415064102564 47.52003205128205 / 75.7411858974359 75.62099358974359 75.8213141025641 / 90.92948913574219 90.85737609863281 90.94551849365234
20: 48.21714743589744 48.13501602564103 48.03485576923077 / 75.95152243589743 75.3505608974359 75.88141025641026 / 90.83734130859375 90.84134674072266 90.8894271850586
21: 48.76802884615385 48.58774038461539 48.66586538461539 / 74.6494391025641 74.5693108974359 75.0 / 90.86138153076172 90.88141632080078 90.82131958007812
22: 49.09054487179487 49.07251602564103 49.114583333333336 / 75.390625 75.81129807692308 75.53084935897436 / 90.72115325927734 90.70513153076172 90.76522827148438
23: 49.84375 49.77564102564103 50.06009615384615 / 76.32211538461539 75.7011217948718 76.171875 / 90.79727935791016 90.76522827148438 90.693115234375
24: 50.29447115384615 50.36658653846154 50.286458333333336 / 75.63100961538461 75.4306891025641 75.25040064102564 / 90.4727554321289 90.3846206665039 90.54487609863281
25: 50.807291666666664 50.67908653846154 50.705128205128204 / 75.13020833333333 74.77964743589743 75.07011217948718 / 90.7411880493164 90.76522827148438 90.64904022216797
26: 51.04567307692308 51.14383012820513 51.0556891025641 / 75.42067307692308 75.07011217948718 75.19030448717949 / 90.5809326171875 90.59695434570312 90.54888153076172
27: 51.47435897435897 51.28605769230769 51.296073717948715 / 75.01001602564102 76.08173076923077 75.05008012820512 / 90.4286880493164 90.50481414794922 90.49279022216797
28: 51.88501602564103 51.88701923076923 51.93910256410256 / 75.32051282051282 75.10016025641026 75.29046474358974 / 90.38862609863281 90.40464782714844 90.48878479003906
29: 52.12339743589744 52.10536858974359 52.24959935897436 / 75.76121794871794 75.44070512820512 74.36899038461539 / 90.43669891357422 90.3084945678711 90.45673370361328
